satellite_catalog_number,international_designator,epoch_year,epoch_day,mean_motion_derivative,mean_motion_derivative_2nd,bstar_drag_term,element_number,inclination,right_ascension,eccentricity,argument_of_perigee,mean_anomaly,mean_motion,revolution_number_at_epoch
32759,06026AQ,08,189.85989532,.01561177,15289-2,23930-2,999,065.0291,006.6198,0024064,275.5230,090.0336,16.03796887,1601
32760,64.8340,40,.7116 006283,289.3126,70.1656,5.798853,668,06026AS,08105.8,733682,.2253050,68213-,52187-2 0,999
32762,06026AT,08,106.87831328,.06280336,10250+0,76363-2,999,065.0697,293.7534,0023944,311.1288,049.2164,16.12247254,250
32763,5.0808,35,.7408 000222,152.4184,56.3374,1.002723,6029,08016B,09033.8,811478,.5793188,-14995-,10165-2 0,999
32765,08017A,15,331.67318444,.04350869,-29703-4,91012-3,999,12.9936,147.3205,0006618,28.7193,333.2561,16.29614997,41873
32766,12.9921,92,.9090 002148,312.0887,47.7578,6.077883,0317,08018A,24283.8,743271,.0000032,00000-,00000-0 0,999
32768,08018B,24,283.81812427,-.00000270,00000-0,00000-0,999,0.0402,24.5193,0002663,170.2729,53.6823,1.00271870,6048
32769,1.4890,91,.2593 695906,344.3705,2.0039,2.693969,4973,08018D,14267.6,718750,.4303423,-26918-,78701-2 0,999
32771,82029E,11,119.26152229,.00000039,00000-0,10000-3,999,71.4236,24.9352,5028930,150.4083,251.2128,1.95935068,3753
32772,71.8534,79,.0506 455197,37.8642,07.0716,1.936341,5525,82029G,13183.7,732008,.0000011,00000-,00000-0 0,999
32774,82029H,13,278.45908352,.00000012,00000-0,00000-0,999,72.9492,348.2082,4739786,122.2142,338.5339,1.95707103,6201
32775,70.7107,30,.5163 507731,159.2344,32.3642,1.966396,2802,82029K,10245.7,632577,.0000029,00000-,10000-3 0,999
32777,82029L,11,094.25079110,.00000351,00000-0,10000-3,999,71.7480,6.4260,5069678,149.9533,252.6584,1.98145763,3246
32778,71.1942,30,.7043 516391,156.1950,40.4625,1.960108,2207,,,,,,,
32779,8.6340,65,.7136 000852,210.8603,50.7835,0.974130,936,08019B,11063.8,472222,.5477055,-60238-,14892-2 0,999
32781,08020A,24,281.32858515,-.00000028,00000-0,00000-0,999,59.4403,52.6285,0003161,248.3875,111.5687,1.65405396,10022
32782,58.5088,47,.0368 003288,253.0094,03.2586,1.679519,0090,08021A,24284.1,230513,.0000381,00000-,52610-3 0,999
32784,08021B,24,284.16280127,.00013485,00000-0,12171-2,999,97.8055,246.6801,0011776,349.1549,10.9416,14.95581781,89201
32785,97.7705,48,.8072 000784,317.5011,42.5604,4.992409,9276,08021D,24284.1,294989,.0001559,00000-,14189-2 0,999
32787,08021E,24,283.69240984,.00040956,00000-0,19281-2,999,97.6322,260.4846,0010119,143.1732,217.0199,15.19369690,89507
32788,97.6033,65,.5238 000883,110.6481,49.5706,5.274803,9591,08021G,23317.6,534723,.1304546,24864-,20295-2 0,999
